customer_number
50
x_point,y_point
7.64,-9.83
-3.93,9.68
8.89,7.51
4.53,-0.66
-7.37,-5.74
5.96,2.01
5.29,2.02
2.54,-1.37
6.79,4.85
4.23,0.5
8.19,6.41
7.76,0.74
3.12,-0.68
4.13,-6.8
-3.67,4.5
3.81,-1.86
-0.75,-3.34
1.2,1.54
6.2,-3.3
5.23,-8.33
0.96,-2.45
-2.34,7.81
6.36,5.22
2.45,7.37
7.66,1.73
-7.8,-6.25
-9.43,-2.32
-0.46,-7.56
1.87,-5.12
0.74,6.76
7.71,-7.99
-4.79,-9.05
3.92,7.71
5.07,5.09
6.21,1.84
8.69,-1.85
-2.54,5.64
0.26,-4.43
-6.22,-7.41
8.07,6.83
-4.92,9.82
-0.41,-6.72
-6.56,-3.97
-7.81,3.39
-5.59,-9.33
-6.87,-3.7
7.7,-9.19
3.58,-6.21
1.26,-1.65
9.61,7.77
